horizon_seconds,shift_age_bucket,adjusted_next_shot_probability,adjusted_per_100_events,odds_ratio_vs_00_29,or_ci_low,or_ci_high,p_value
5,00-29,0.08117209566353706,8.117209566353706,1.0,,,
5,30-44,0.08849810154781616,8.849810154781617,1.102512207058507,1.0503395294234834,1.1572764164938258,7.959272286965001e-05
5,45-59,0.09707637860618452,9.707637860618453,1.2254924747520088,1.1623994097139103,1.2920101241650095,4.6950538280359944e-14
5,60+,0.1071199436837137,10.711994368371371,1.3736717533410514,1.3108287431389185,1.439527547594447,2.7042092400395047e-40
10,00-29,0.1587768167158043,15.87768167158043,1.0,,,
10,30-44,0.17254796143576895,17.254796143576893,1.112326660263474,1.0724205475879738,1.153717729407266,1.1247907280050739e-08
10,45-59,0.18801758931602866,18.801758931602865,1.2449024192268612,1.1960653856561063,1.2957335376332728,7.497388451453951e-27
10,60+,0.20180129337844768,20.180129337844768,1.3691463629447178,1.3211039762217442,1.4189358270844443,1.3380468022696252e-66
15,00-29,0.21605687849676566,21.605687849676567,1.0,,,
15,30-44,0.23114883824289545,23.114883824289546,1.0999621324227635,1.0636431166001936,1.1375212925096392,2.672359663831484e-08
15,45-59,0.25014998606370287,25.014998606370288,1.2339602461560848,1.1890304175428887,1.2805878357932439,1.1334631517414126e-28
15,60+,0.2612027098601437,26.120270986014372,1.3164303712590173,1.2738331313676192,1.3604520715461166,2.5925133265493613e-60
